Country Name,Country Code,Custom_Series_Name,Custom_Series_Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
San Marino,SMR,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Net migration rate,(Net migration rate),..,..,-0.141937685137797,..,..,..,..,-0.0109336194101136,..,..,..,..,-0.0321939076654605,..,..,..,..,-0.0138576779026217,..,..,..,..,-0.0603078222231158,..,..,..,..,-0.0198632249170098,..,..,..,..,-0.0449444515797585,..,..,..,..,-0.0703148006360799,..,..,..,..,-0.0569696229831736,..,..,..,..,-0.0203908598917619,..,..,..,..,-0.0445850406573109,..,..,..,..,-0.0405670991699221,..,..
Saudi Arabia,SAU,Net migration rate,(Net migration rate),..,..,0.0288781067877269,..,..,..,..,0.0359965621682593,..,..,..,..,0.0756014810017879,..,..,..,..,0.0960950434695628,..,..,..,..,0.125902949106699,..,..,..,..,0.0496221324713819,..,..,..,..,-0.00636474956359516,..,..,..,..,-0.0180345977784879,..,..,..,..,0.0343033828498587,..,..,..,..,0.0426090995222199,..,..,..,..,0.0590908231869684,..,..,..,..,0.0203901025002246,..,..
Senegal,SEN,Net migration rate,(Net migration rate),..,..,0.0147637626719688,..,..,..,..,0.0221871534940113,..,..,..,..,0.0145008957762211,..,..,..,..,-0.0260122813525159,..,..,..,..,-0.0144013128160144,..,..,..,..,-0.00876863831952103,..,..,..,..,-0.00963743113975101,..,..,..,..,-0.0249212644086652,..,..,..,..,-0.0196900940021679,..,..,..,..,-0.018654274634896,..,..,..,..,-0.0159679259596578,..,..,..,..,-0.00648540949860439,..,..
Serbia,SRB,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0233243670505324,..,..,..,..,-0.0652803178726627,..,..,..,..,-0.0368612271130532,..,..,..,..,-0.016196534643875,..,..,..,..,0.00410594302575177,..,..,..,..,0.0028486546800975,..,..
Seychelles,SYC,Net migration rate,(Net migration rate),..,..,-0.0223423096135507,..,..,..,..,-0.0222395864639058,..,..,..,..,0.00299844723268307,..,..,..,..,-0.00483928398018969,..,..,..,..,-0.0494620651110801,..,..,..,..,-0.0758551219725835,..,..,..,..,0.00710823452934443,..,..,..,..,-0.00329802506499049,..,..,..,..,0.0314608888835804,..,..,..,..,-0.0320463819928734,..,..,..,..,-0.011324643556844,..,..,..,..,-0.0104337301628705,..,..
Sierra Leone,SLE,Net migration rate,(Net migration rate),..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0.0155380788798022,..,..,..,..,-0.103502430237062,..,..,..,..,-0.0345996737020105,..,..,..,..,0.100689400185188,..,..,..,..,0.0100173082390858,..,..,..,..,-0.00312845386893655,..,..,..,..,-0.00280432576597154,..,..
Singapore,SGP,Net migration rate,(Net migration rate),..,..,0.000244543480745058,..,..,..,..,-0.00018456715210356,..,..,..,..,0.0027322988292139,..,..,..,..,0.0061381327140584,..,..,..,..,0.0520739733667464,..,..,..,..,0.0431751747610359,..,..,..,..,0.0921921516650581,..,..,..,..,0.0847141150852547,..,..,..,..,0.0222157832349525,..,..,..,..,0.157202231007765,..,..,..,..,0.0596765665174006,..,..,..,..,0.0240798125102343,..,..
Sint Maarten (Dutch part),SXM,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,Net migration rate,(Net migration rate),..,..,-0.00623544779042364,..,..,..,..,-0.01299915246371,..,..,..,..,-0.00331852390733891,..,..,..,..,-0.00200309843960367,..,..,..,..,-0.00687958831271158,..,..,..,..,-0.00676107251993168,..,..,..,..,-0.00284787076985253,..,..,..,..,-0.000550592565031316,..,..,..,..,0.000222990445073306,..,..,..,..,-0.00164755772592007,..,..,..,..,0.00209816629585994,..,..,..,..,0.00136471472443168,..,..
